Distance_(pixels),Gray_Value
0,1262.001
1,1368.613
2,1513.734
3,1493.702
4,1704.364
5,1409.932
6,1427.643
7,1387.615
8,1403.865
9,1424.364
10,1457.113
11,1504.251
12,1468.084
13,1279.439
14,1377.635
15,1534.059
16,1609.674
17,1576.973
18,1718.580
19,1582.243
20,1635.811
21,1676.231
22,1905.627
23,1975.879
24,2053.001
25,1917.357
26,1832.200
27,1876.210
28,1942.950
29,1952.063
30,1911.110
31,1879.915
32,1913.506
33,1779.079
34,1932.360
35,1757.540
36,1771.995
37,1721.299
38,1565.070
39,1438.547
40,1440.894
41,1666.126
42,1858.833
43,1929.248
44,2124.609
45,2421.355
46,2685.958
47,2845.435
48,2401.515
49,1955.168
50,1624.088
51,1350.065
52,1337.375
53,1607.079
54,1709.669
55,1673.043
56,1507.600
57,1370.044
58,1337.918
59,1052.074
60,1208.075
61,1259.835
62,1577.955
63,1889.266
64,1627.320
65,1729.140
66,1601.409
67,1674.401
68,1842.448
69,1771.834
70,1867.833
71,1892.901
72,1884.970
73,1951.066
74,1825.117
75,1623.936
76,1629.196
77,1377.636
78,1135.720
79,1287.500
80,1190.765
81,1160.412
82,1467.446
83,1539.331
84,1521.413
85,1325.975
86,1451.168
87,1445.620
88,1330.494
89,1381.914
90,1431.800
91,1646.860
92,1802.754
93,1849.053
94,1922.178
95,1917.945
96,1795.346
97,1761.124
98,1636.496
99,1513.299
100,1486.711
101,1475.946
102,1608.758
103,1523.166
104,1441.827
105,1397.662
106,1419.421
107,1573.676
108,1673.170
109,1791.806
110,1903.737
111,1758.573
112,1558.487
113,1506.123
114,1514.933
115,1536.419
116,1537.044
117,1413.933
118,1317.555
119,1133.586
120,1421.807
121,1241.540
122,1131.350
123,1098.126
124,930.774
125,1002.567
126,1268.034
127,1265.595
128,1127.471
129,1356.501
130,1303.639
131,1188.026
132,1380.226
133,1634.111
134,1857.889
135,1913.577
136,1921.063
137,2069.725
138,2021.356
139,1946.644
140,1945.227
141,1929.363
142,2072.570
143,1902.568
144,1727.721
145,1627.566
146,1550.214
147,1579.760
148,1718.521
149,1651.041
150,1655.213
151,1722.367
152,1740.421
153,1675.005
154,1581.575
155,1524.293
156,1461.168
157,1520.355
158,1586.666
159,1793.549
160,1831.267
161,1847.665
162,1837.980
163,1730.771
164,1656.495
165,1766.109
166,1756.786
167,1835.154
168,1972.297
169,1831.270
170,1771.045
171,1750.086
172,1720.816
173,1659.885
174,1671.071
175,1572.100
176,1544.193
177,1786.344
178,1836.390
179,1809.065
180,1879.428
181,1991.497
182,1957.641
183,1796.499
